case:concept:name,time:timestamp,concept:name,Session
1,2019-03-05 11:48:28,clickButton_Clients_Web,1
1,2019-03-05 11:48:31,insertValue_clientID_Web,1
1,2019-03-05 11:48:47,pressKey_Web,1
1,2019-03-05 11:48:49,clickButton_update_Web,1
1,2019-03-05 11:48:53,insertValue_address_Web,1
1,2019-03-05 11:48:59,insertValue_country_Web,1
1,2019-03-05 11:49:09,clickButton_UnbindFile_Web,1
1,2019-03-05 11:49:13,clickButton_OK_Web,1
1,2019-03-05 11:49:16,clickButton_Confirm_Web,1
2,2019-03-05 11:49:29,clickButton_Clients_Web,2
2,2019-03-05 11:49:34,insertValue_clientID_Web,2
2,2019-03-05 11:49:51,pressKey_Web,2
2,2019-03-05 11:49:54,clickButton_update_Web,2
2,2019-03-05 11:49:58,insertValue_address_Web,2
2,2019-03-05 11:50:12,insertValue_country_Web,2
2,2019-03-05 11:50:19,clickButton_UnbindFile_Web,2
2,2019-03-05 11:50:21,clickButton_OK_Web,2
2,2019-03-05 11:50:24,clickButton_Confirm_Web,2
3,2019-03-05 11:50:36,clickButton_Clients_Web,3
3,2019-03-05 11:50:38,insertValue_clientID_Web,3
3,2019-03-05 11:50:48,clickButton_update_Web,3
3,2019-03-05 11:50:51,insertValue_address_Web,3
3,2019-03-05 11:51:02,insertValue_country_Web,3
3,2019-03-05 11:51:15,openFile_Excel,3
3,2019-03-05 11:51:16,copy_address_Web,3
3,2019-03-05 11:51:23,paste_Excel_5_A,3
3,2019-03-05 11:51:27,saveFile_save_Excel,3
3,2019-03-05 11:51:30,clickButton_ConfirmWithFile_Web,3
4,2019-03-05 11:51:45,clickButton_Clients_Web,4
4,2019-03-05 11:51:47,insertValue_clientID_Web,4
4,2019-03-05 11:51:47,pressKey_Web,4
4,2019-03-05 11:51:50,clickButton_update_Web,4
4,2019-03-05 11:51:53,insertValue_address_Web,4
4,2019-03-05 11:52:04,openFile_Excel,4
4,2019-03-05 11:52:16,clickButton_UnbindFile_Web,4
4,2019-03-05 11:52:19,clickButton_OK_Web,4
4,2019-03-05 11:52:22,clickButton_Confirm_Web,4
5,2019-03-05 11:52:36,clickButton_Clients_Web,5
5,2019-03-05 11:52:39,insertValue_clientID_Web,5
5,2019-03-05 11:52:49,pressKey_Web,5
5,2019-03-05 11:52:51,clickButton_update_Web,5
5,2019-03-05 11:52:53,insertValue_address_Web,5
5,2019-03-05 11:52:54,insertValue_country_Web,5
5,2019-03-05 11:52:55,pressKey_Web,5
5,2019-03-05 11:52:56,clickButton_UnbindFile_Web,5
5,2019-03-05 11:52:59,clickButton_OK_Web,5
5,2019-03-05 11:53:02,clickButton_Confirm_Web,5
6,2019-03-05 11:53:16,clickButton_Clients_Web,6
6,2019-03-05 11:53:17,insertValue_clientID_Web,6
6,2019-03-05 11:53:21,pressKey_Web,6
6,2019-03-05 11:53:24,clickButton_update_Web,6
6,2019-03-05 11:53:28,insertValue_address_Web,6
6,2019-03-05 11:53:34,openFile_Excel,6
6,2019-03-05 11:53:45,copy_address_Web,6
6,2019-03-05 11:53:55,paste_Excel_5_A,6
6,2019-03-05 11:54:01,clickButton_ConfirmWithFile_Web,6
7,2019-03-05 11:54:14,clickButton_Clients_Web,7
7,2019-03-05 11:54:17,insertValue_clientID_Web,7
7,2019-03-05 11:54:22,clickButton_Clients_Web,7
7,2019-03-05 11:54:28,pressKey_Web,7
7,2019-03-05 11:54:31,clickButton_update_Web,7
7,2019-03-05 11:54:34,insertValue_address_Web,7
7,2019-03-05 11:54:34,insertValue_country_Web,7
7,2019-03-05 11:54:41,clickButton_UnbindFile_Web,7
7,2019-03-05 11:54:44,clickButton_OK_Web,7
7,2019-03-05 11:54:47,clickButton_Confirm_Web,7
8,2019-03-05 11:55:00,clickButton_Clients_Web,8
8,2019-03-05 11:55:04,insertValue_clientID_Web,8
